il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_3.2	12.15	15.67	0.28	11.5	31.3	0.13	32.1	17.7	31.7	-16.6	-18.2	-16.2	-17.9	1.7	1.6	6.8
IL_3.3	6.90	9.32	0.16	11.8	31.3	0.20	32.1	10.7	31.8	-15.7	-17.5	-15.5	-17.3	1.8	1.9	3.8
IL_3.3	6.59	9.60	0.16	11.1	31.3	0.08	32.1	11.7	31.9	-18.9	-20.7	-18.8	-20.1	1.8	1.2	0.6
IL_3.3	6.06	8.56	0.15	11.6	31.4	0.15	32.1	13.5	31.8	-20.8	-22.3	-21.3	-22.2	1.6	0.8	4.5
IL_3.4	6.36	7.93	0.14	10.6	31.5	0.10	32.1	12.4	32.0	-17.8	-19.2	-17.8	-18.9	1.4	1.1	1.2
IL_3.4	7.51	8.36	0.16	9.8	31.3	0.05	32.1	14.7	31.7	-16.5	-17.5	-15.9	-16.5	0.9	0.6	0.9
IL_3.4	5.88	7.32	0.13	11.6	31.4	0.19	31.9	7.8	31.8	-16.9	-21.0	-16.1	-19.2	4.0	3.1	3.9
IL_3.5	8.16	6.23	0.14	12.8	31.3	0.25	32.1	14.5	31.8	-12.9	-14.3	-13.2	-13.8	1.5	0.5	9.7
IL_3.5	6.52	5.23	0.12	12.7	31.5	0.18	32.1	8.2	31.9	-17.3	-18.8	-17.0	-18.2	1.6	1.2	1.8
IL_3.5	8.35	7.10	0.15	12.2	31.3	0.08	32.1	17.5	31.6	-15.1	-16.0	-15.4	-15.7	1.0	0.3	9.7
IL_4.1	7.58	4.41	0.12	12.5	31.4	0.44	32.1	13.5	31.9	-19.8	-21.6	-20.3	-20.6	1.8	0.4	5.4
IL_4.1	6.08	4.38	0.10	13.7	31.4	0.15	32.0	9.2	31.8	-17.8	-18.3	-17.4	-18.0	0.5	0.6	1.7
IL_4.1	8.56	6.40	0.15	12.3	31.3	0.22	32.1	16.4	31.8	-17.6	-19.3	-17.7	-18.8	1.7	1.1	7.3
IL_4.1.1	5.94	8.52	0.14	13.7	31.1	0.17	32.0	14.8	31.6	-17.0	-19.0	NA	-18.9	2.0	NA	10.6
IL_4.2	4.49	5.14	0.10	13.5	31.3	0.05	32.1	13.9	31.8	-18.5	-20.3	-18.4	-19.9	1.7	1.5	1.1
IL_4.2	5.12	8.03	0.13	13.4	31.2	0.18	32.0	12.6	31.6	-16.5	-18.6	-16.4	-18.2	2.0	1.8	5.9
IL_4.2	7.26	10.48	0.18	11.2	31.1	0.13	32.0	15.2	31.5	-17.3	-18.9	-16.9	-18.5	1.6	1.5	6.8
IL_4.3	4.82	10.35	0.15	13.1	31.3	0.13	32.0	9.1	31.8	-19.0	-19.3	-17.5	-18.6	0.3	1.1	2.5
IL_4.3	4.80	9.83	0.15	12.2	31.4	0.15	32.1	7.0	31.8	-17.1	-17.3	NA	-16.9	0.2	NA	2.4
IL_4.3	7.86	15.19	0.23	12.8	31.2	0.11	32.0	16.6	31.5	-15.7	-16.7	-15.6	-16.1	1.0	0.5	8.0
